;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cennik obowiązuje od dnia 7 lutego 2014 r.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;Opakowanie jednostkowe;;;;;Karton wewnętrzny;;;;;Karton duży;;;;;;
Kod towaru;Nazwa artykułu;NOWOŚĆ;Cena netto katalogowa;;Kategoria;Podkategoria;Opis;Opis cech;Opis dodatkowy;Podstawowy materiał wykonania;Dodatkowy materiał wykonania;Kategoria zdobienia;Sugerowana technika zdobienia;Liczba kolorów;Długość obszaru;Szerokość obszaru;Długość produktu;Szerokość produktu;Wysokość produktu;Materiał wykonania opakowania;Rodzaj opakowania jedn.;Kolor opakowania jedn.;Baterie;Cechy specyficzne;Kolor podstawowy;Kolor dodatkowy;Waga brutto;Waga netto;Długość;Szerokość;Wysokość;Waga brutto;Waga netto;Długość;Szerokość;Wysokość;Waga brutto;Waga netto;Długość;Szerokość;Wysokość;Ilość w jednostkach podstawowych;Ilość na palecie wysyłkowej
R07936.08;Parasol automatyczny - czerwony;;13,50 zł;;Podróże i wypoczynek;Parasole;Najpopularniejszy parasol promocyjny. Wykonany z solidnego  poliestru 190 T oraz drewna. Pakowany w woreczek foliowy. Logo naniesiemy na dowolny panel przy pomocy sitodruku lub na drewnianą rączkę techniką grawerki laserowej. ;;;poliester 190 T;drewno;B6;sitodruk;4;200;150;1080.0;1080.0;905.0;folia;woreczek foliowy;bezbarwny;;;czerwony;;;;;;;4.1;3.8;930.0;170.0;90.0;20.5;19.0;940.0;180.0;465.0;50;900
R07936.10;Parasol automatyczny - brązowy;;13,50 zł;;Podróże i wypoczynek;Parasole;Najpopularniejszy parasol promocyjny. Wykonany z solidnego  poliestru 190 T oraz drewna. Pakowany w woreczek foliowy.  Logo naniesiemy na dowolny panel przy pomocy sitodruku lub na drewnianą rączkę techniką grawerki laserowej. ;;;poliester 190 T;drewno;B6;sitodruk;4;200;150;1080.0;1080.0;905.0;folia;woreczek foliowy;bezbarwny;;;brązowy;;;;;;;4.1;3.8;930.0;170.0;90.0;20.5;19.5;940.0;180.0;465.0;50;900
R07937.02;Elegancki parasol, czarny;EOY 2013;54,90 zł;;Podróże i wypoczynek;Parasole;Elegancki automatyczny parasol z rączką wykonaną z wysokiej jakości ekoskóry. Materiał: 190T pongee. Pałąk, rama i żebra wykonane z włókna szklanego. Pakowany w woreczek foliowy.;;;pongee;włókno szklane  ;B6;sitodruk;4;250;150;1200.0;1200.0;930.0;folia;woreczek foliowy;bezbarwny;;;czarny;;;;;;;5.7;5.6;1000.0;200.0;115.0;28.5;28.0;1030.0;200.0;570.0;50;600
R07937.04;Elegancki parasol, granatowy;EOY 2013;54,90 zł;;Podróże i wypoczynek;Parasole;Elegancki automatyczny parasol z rączką wykonaną z wysokiej jakości ekoskóry. Materiał: 190T pongee. Pałąk, rama i żebra wykonane z włókna szklanego. Pakowany w woreczek foliowy.;;;pongee;włókno szklane  ;B6;sitodruk;4;250;150;1200.0;1200.0;930.0;folia;woreczek foliowy;bezbarwny;;;granatowy;;;;;;;5.7;5.6;1000.0;200.0;115.0;28.5;28.0;1030.0;200.0;570.0;50;600
R07941.02;Kwadratowy automatyczny parasol, czarny;EOY 2013;39,80 zł;;Podróże i wypoczynek;Parasole;Kwadratowy automatyczny parasol wykonany z pongee 190 t. Pałąk wykonany z metalu, rama i żebra z włókna szklanego. Wyposażony w plastikową, gumowaną rączkę. Pakowany w woreczek foliowy.;;;pongee;metal;B6;sitodruk;4;250;150;1040.0;1040.0;860.0;folia;woreczek foliowy;bezbarwny;;;czarny;;;;;;;4.8;4.5;880.0;180.0;70.0;24.0;22.5;880.0;180.0;370.0;50;1200
R07941.04;Kwadratowy automatyczny parasol, niebieski;EOY 2013;39,80 zł;;Podróże i wypoczynek;Parasole;Kwadratowy automatyczny parasol wykonany z pongee 190 t. Pałąk wykonany z metalu, rama i żebra z włókna szklanego. Wyposażony w plastikową, gumowaną rączkę. Pakowany w woreczek foliowy.;;;pongee;metal;B6;sitodruk;4;250;150;1040.0;1040.0;860.0;folia;woreczek foliowy;bezbarwny;;;niebieski;;;;;;;4.8;4.5;880.0;180.0;70.0;24.0;22.5;880.0;180.0;370.0;50;1200
R07941.05;Kwadratowy automatyczny parasol, zielony;EOY 2013;39,80 zł;;Podróże i wypoczynek;Parasole;Kwadratowy automatyczny parasol wykonany z pongee 190 t. Pałąk wykonany z metalu, rama i żebra z włókna szklanego. Wyposażony w plastikową, gumowaną rączkę. Pakowany w woreczek foliowy.;;;pongee;metal;B6;sitodruk;4;250;150;1040.0;1040.0;860.0;folia;woreczek foliowy;bezbarwny;;;zielony;;;;;;;4.8;4.5;880.0;180.0;70.0;24.0;22.5;880.0;180.0;370.0;50;1200
R07941.08;Kwadratowy automatyczny parasol, czerwony;EOY 2013;39,80 zł;;Podróże i wypoczynek;Parasole;Kwadratowy automatyczny parasol wykonany z pongee 190 t. Pałąk wykonany z metalu, rama i żebra z włókna szklanego. Wyposażony w plastikową, gumowaną rączkę. Pakowany w woreczek foliowy.;;;pongee;metal;B6;sitodruk;4;250;150;1040.0;1040.0;860.0;folia;woreczek foliowy;bezbarwny;;;czerwony;;;;;;;4.8;4.5;880.0;180.0;70.0;24.0;22.5;880.0;180.0;370.0;50;1200
R07944.02;Składany parasol automatyczny;;49,80 zł;;Podróże i wypoczynek;Parasole;8-panelowy składany parasol automatyczny z ergonomiczną rączką. Wykonany z wodoodpornego pongee oraz metalu. Posiada funkcje automatycznego rozkładania i półautomatycznego składania. Pakowany w pokrowiec oraz woreczek foliowy.;;;Pongee;Metal;B6;sitodruk;4;200;140;940.0;570.0;940.0;folia;woreczek foliowy;bezbarwny;;;czarny;;;;;;;4.1;3.8;300.0;240.0;100.0;20.5;19.0;310.0;260.0;510.0;50;1800
R07946.02;Parasol golfowy, czarny;EOY 2013;25,90 zł;;Podróże i wypoczynek;Parasole;Elegancki manualny parasol z rączką wykonaną z pianki EVA. Materiał: 190T poliester. Pałąk, rama i żebra wykonane z metalu. Pakowany w woreczek foliowy.;;;pongee;włókno szklane  ;B6;sitodruk;4;250;150;1270.0;1270.0;1000.0;folia;woreczek foliowy;bezbarwny;;;czarny;;;;;;;4.6;4.3;180.0;70.0;50.0;23.0;21.5;1030.0;180.0;370.0;50;1200
R07946.04;Parasol golfowy, granatowy;EOY 2013;25,90 zł;;Podróże i wypoczynek;Parasole;Elegancki manualny parasol z rączką wykonaną z pianki EVA. Materiał: 190T poliester. Pałąk, rama i żebra wykonane z metalu. Pakowany w woreczek foliowy.;;;pongee;włókno szklane  ;B6;sitodruk;4;250;150;1270.0;1270.0;1000.0;folia;woreczek foliowy;bezbarwny;;;niebieski;;;;;;;4.6;4.3;1000.0;180.0;70.0;23.0;21.5;1030.0;180.0;370.0;50;1200
R07946.08;Parasol golfowy, czerwony;EOY 2013;25,90 zł;;Podróże i wypoczynek;Parasole;Elegancki manualny parasol z rączką wykonaną z pianki EVA. Materiał: 190T poliester. Pałąk, rama i żebra wykonane z metalu. Pakowany w woreczek foliowy.;;;pongee;włókno szklane  ;B6;sitodruk;4;250;150;1270.0;1270.0;1000.0;folia;woreczek foliowy;bezbarwny;;;czerwony;;;;;;;4.6;4.3;1000.0;180.0;70.0;23.0;21.5;1030.0;180.0;370.0;50;1200
R08000;Ski-pass;;5,20 zł;;Podróże i wypoczynek;Osobiste;Wykonany z metalu i plastiku nowoczesny ski-pass z karabińczykiem. Pakowany w woreczek foliowy.;;;plastik;metal;A1;tampodruk;4;13;13;37.0;63.0;16.0;folia;woreczek foliowy;bezbarwny;;;niebieski;srebrny;;;;;;1.25;1.0;200.0;155.0;67.0;5.0;4.0;325.0;215.0;175.0;200;16000
R08003.02;Ski-pass z karabińczykiem, czarny;EOY 2013;5,20 zł;;Podróże i wypoczynek;Osobiste;Wykonany z metalu i plastiku nowoczesny ski-pass z karabińczykiem. Pakowany w woreczek foliowy.;;;plastik;metal;A2;tampodruk;4;13;13;37.0;63.0;16.0;folia;woreczek foliowy;bezbarwny;;;czarny;;;;;;;1.25;1.0;200.0;155.0;67.0;5.0;4.0;325.0;215.0;175.0;200;16000
R08003.06;Ski-pass z karabińczykiem, biały;EOY 2013;5,20 zł;;Podróże i wypoczynek;Osobiste;Wykonany z metalu i plastiku nowoczesny ski-pass z karabińczykiem. Pakowany w woreczek foliowy.;;;plastik;metal;A2;tampodruk;4;13;13;37.0;63.0;16.0;folia;woreczek foliowy;bezbarwny;;;biały;;;;;;;1.25;1.0;200.0;155.0;67.0;5.0;4.0;325.0;215.0;175.0;200;16000
R08003.08;Ski-pass z karabińczykiem, czerwony;EOY 2013;5,20 zł;;Podróże i wypoczynek;Osobiste;Wykonany z metalu i plastiku nowoczesny ski-pass z karabińczykiem. Pakowany w woreczek foliowy.;;;plastik;metal;A2;tampodruk;4;13;13;37.0;63.0;16.0;folia;woreczek foliowy;bezbarwny;;;czerwony;;;;;;;1.25;1.0;200.0;155.0;67.0;5.0;4.0;325.0;215.0;175.0;200;16000
R08005;Skipass z metalowym karabinkiem;;5,20 zł;;Podróże i wypoczynek;Osobiste;Ski-pass z metalowym karabińczykiem, w czarnym kolorze, z uchwytem  na karnet z elastycznego tworzywa sztucznego. Pakowany pojedynczo  w woreczek foliowy.;;;plastik;metal;A1;tampodruk;4;13;13;37.0;63.0;16.0;folia;woreczek foliowy;bezbarwny;;;czarny;srebrny;;;;;;2.5;2.0;210.0;150.0;70.0;5.0;4.5;290.0;215.0;175.0;200;32000
R08155.02;Składany kosz na zakupy, czarny;EOY 2013;35,90 zł;;Podróże i wypoczynek;Zestawy turystyczne;Składany kosz na zakupy wykonany z poliestru z aluminiową ramą. Wygodnie składany, w środku kieszonka np. na pieniądze,  zapinana na zamek. Pakowany w biały kartonik. Logo na niesiemy na bok koszyka za pomocą techniki sitodruku.;Składany;;poliester;aluminium;B6;sitodruk;4;200;100;440.0;290.0;380.0;karton;pudełko kartonowe;biały;;;czarny;;0.66;0.62;295.0;215.0;90.0;;;;;;16.0;15.0;600.0;600.0;450.0;24;180
R08155.04;Składany kosz na zakupy, granatowy;;35,90 zł;;Podróże i wypoczynek;Zestawy turystyczne;Składany kosz na zakupy wykonany z poliestru z aluminiową ramą. Wygodnie składany, w środku kieszonka np. na pieniądze,  zapinana na zamek. Pakowany w biały kartonik. Logo na niesiemy na bok koszyka za pomocą techniki sitodruku.;Składany;;poliester;aluminium;B6;sitodruk;4;200;100;440.0;290.0;380.0;karton;pudełko kartonowe;biały;;;niebieski;;0.63;0.6;300.0;230.0;100.0;;;;;;19.0;18.0;605.0;495.0;685.0;30;180
R08155.05;Składany kosz na zakupy, zielony;EOY 2013;35,90 zł;;Podróże i wypoczynek;Zestawy turystyczne;Składany kosz na zakupy wykonany z poliestru z aluminiową ramą. Wygodnie składany, w środku kieszonka np. na pieniądze,  zapinana na zamek. Pakowany w biały kartonik. Logo na niesiemy na bok koszyka za pomocą techniki sitodruku.;Składany;;poliester;aluminium;B6;sitodruk;4;200;100;440.0;290.0;380.0;karton;pudełko kartonowe;biały;;;jasnozielony;;0.66;0.62;295.0;215.0;90.0;;;;;;16.0;15.0;600.0;600.0;450.0;24;180
R08155.08;Składany kosz na zakupy, czerwony;;35,90 zł;;Podróże i wypoczynek;Zestawy turystyczne;Składany kosz na zakupy wykonany z poliestru z aluminiową ramą. Wygodnie składany, w środku kieszonka np. na pieniądze,  zapinana na zamek. Pakowany w biały kartonik. Logo na niesiemy na bok koszyka za pomocą techniki sitodruku.;Składany;;poliester;aluminium;B6;sitodruk;4;200;100;440.0;290.0;380.0;karton;pudełko kartonowe;biały;;;czerwony;;0.63;0.6;300.0;230.0;100.0;;;;;;19.0;18.0;605.0;495.0;685.0;30;180
R08155.21;Składany kosz na zakupy, szary;EOY 2013;35,90 zł;;Podróże i wypoczynek;Zestawy turystyczne;Składany kosz na zakupy wykonany z poliestru z aluminiową ramą. Wygodnie składany, w środku kieszonka np. na pieniądze,  zapinana na zamek. Pakowany w biały kartonik. Logo na niesiemy na bok koszyka za pomocą techniki sitodruku.;Składany;;poliester;aluminium;B6;sitodruk;4;200;100;440.0;290.0;380.0;karton;pudełko kartonowe;biały;;;szary;;0.66;0.62;295.0;215.0;90.0;;;;;;16.0;15.0;600.0;600.0;450.0;24;180
R08157;Izotermiczny kosz na zakupy;NEW 2014;54,90 zł;;Podróże i wypoczynek;Zestawy turystyczne;Wykonany z poliestru izotermiczny kosz na zakupy. Zapewnia bardzo dobra izolację termiczną dzięki starannemu wyłożeniu wnętrza grubą warstwą izotermiczną z folią aluminiową. Aluminiowa rama, uchwyt z pianki EVA. Pakowany w opakowanie kartonowe.;;;poliester;;B6;sitodruk;4;250;150;480.0;400.0;280.0;karton;pudełko kartonowe;biały;;;grafitowy;;0.97;0.55;320.0;530.0;60.0;;;;;;7.8;4.4;550.0;345.0;530.0;8;96
R08158.04;Składany kosz na zakupy niebieski;NEW 2014;41,90 zł;;Podróże i wypoczynek;Zestawy turystyczne;Wykonany z poliestru, wygodnie składany kosz na zakupy z aluminiową ramą. Kosz przewidziany na zakupy o wadze do 15 kg. Pakowany w kartonowe opakowanie.;;;poliester;;B6;sitodruk;4;200;100;480.0;400.0;280.0;karton;pudełko kartonowe;biały;;;niebieski;;0.97;0.7;280.0;300.0;95.0;;;;;;7.8;5.6;620.0;300.0;390.0;8;128
R08158.08;Składany kosz na zakupy czerwony;NEW 2014;41,90 zł;;Podróże i wypoczynek;Zestawy turystyczne;Wykonany z poliestru, wygodnie składany kosz na zakupy z aluminiową ramą. Kosz przewidziany na zakupy o wadze do 15 kg. Pakowany w kartonowe opakowanie.;;;poliester;;B6;sitodruk;4;200;100;480.0;400.0;280.0;karton;pudełko kartonowe;biały;;;czerwony;;0.97;0.7;280.0;300.0;95.0;;;;;;7.8;5.6;620.0;300.0;390.0;8;128
R08215;Zestaw izotermiczny;;59,80 zł;;Podróże i wypoczynek;Termosy i kubki izotermiczne;Zestaw izotermiczny składający się z termosu o podwójnych ściankami ze stali nierdzewnej o pojemności 450 ml, dwóch kubków o pojemności 180 ml i torby izotermicznej na ramię. Pakowany w białe kartonowe pudełko.;;;stal nierdzewna;poliester;L3;laser;1;50;20;260.0;150.0;65.0;karton;pudełko;biały;;;czarny;srebrny;0.95;0.9;275.0;160.0;90.0;;;;;;17.0;15.0;660.0;470.0;280.0;20;360
R08307;Piersiówka 200ml;;13,40 zł;;Podróże i wypoczynek;Osobiste;Wykonana ze stali nierdzewnej o podwyższonej jakości 18/8 piersiówka o pojemności około 200 ml. Pakowana w białe kartonowe pudełko. Logo umieścimy na piersiówce techniką grawerki laserowej. ;;;stal nierdzewna;;L2;laser;1;30;30;95.0;25.0;130.0;karton;pudełko;biały;;;srebrny;;0.16;0.15;140.0;100.0;35.0;;;;;;16.0;15.0;520.0;290.0;330.0;100;3600
R08312.04;Bidon 600 ml szaro-niebieski;NEW 2014;17,90 zł;;Podróże i wypoczynek;Termosy i kubki izotermiczne;Bidon o pojemności 600 ml wykonany z tritanu z pokrywką z pp poliproylenu. Tritan jest tworzywem niezawierającym BPA, jest wytrzymały i przejrzysty. Bidon posiada miarkę, uchwyt na nadgarstek, funkcję podwójnego zabezpieczenia przed wylaniem wody - przycisk i dodatkowo haczyk. Co istotne, jest łatwy w myciu. Pakowany w woreczek foliowy;;;Tworzywo sztuczne;PP Polipropylen;A3;tampodruk;;;;85.0;75.0;230.0;folia;woreczek foliowy;bezbarwny;;;jasnoszary;niebieski;;;;;;;;;;;;;;;;;
R08312.05;Bidon 600 ml szaro-zielony;NEW 2014;17,90 zł;;Podróże i wypoczynek;Termosy i kubki izotermiczne;Bidon o pojemności 600 ml wykonany z tritanu z pokrywką z pp poliproylenu. Tritan jest tworzywem niezawierającym BPA, jest wytrzymały i przejrzysty. Bidon posiada miarkę, uchwyt na nadgarstek, funkcję podwójnego zabezpieczenia przed wylaniem wody - przycisk i dodatkowo haczyk. Co istotne, jest łatwy w myciu. Pakowany w woreczek foliowy;;;Tworzywo sztuczne;PP Polipropylen;A3;tampodruk;;;;85.0;75.0;230.0;folia;woreczek foliowy;bezbarwny;;;jasnoszary;zielony;;;;;;;;;;;;;;;;;
R08312.08;Bidon 600 ml szaro-czerwony;NEW 2014;17,90 zł;;Podróże i wypoczynek;Termosy i kubki izotermiczne;Bidon o pojemności 600 ml wykonany z tritanu z pokrywką z pp polipropylenu. Tritan jest tworzywem niezawierającym BPA, jest wytrzymały i przejrzysty. Bidon posiada miarkę, uchwyt na nadgarstek, funkcję podwójnego zabezpieczenia przed wylaniem wody - przycisk i dodatkowo haczyk. Co istotne, jest łatwy w myciu.;;;tritan;pp polipropylen;A3;tampodruk;;;;85.0;75.0;230.0;folia;woreczek foliowy;bezbarwny;;;jasnoszary;czerwony;;;;;;;;;;;;;;;;;
R08312.15;Bidon 600 ml szaro-pomarańczowy;NEW 2014;17,90 zł;;Podróże i wypoczynek;Termosy i kubki izotermiczne;Bidon o pojemności 600 ml wykonany z tritanu z pokrywką z pp poliproylenu. Tritan jest tworzywem niezawierającym BPA, jest wytrzymały i przejrzysty. Bidon posiada miarkę, uchwyt na nadgarstek, funkcję podwójnego zabezpieczenia przed wylaniem wody - przycisk i dodatkowo haczyk. Co istotne, jest łatwy w myciu. Pakowany w woreczek foliowy;;;Tworzywo sztuczne;PP Polipropylen;A3;tampodruk;;;;85.0;75.0;230.0;folia;woreczek foliowy;bezbarwny;;;jasnoszary;pomarańczowy;;;;;;;;;;;;;;;;;
R08315;Metalowy bidon;;8,85 zł;;Podróże i wypoczynek;Termosy i kubki izotermiczne;Wykonany ze stali nierdzewnej bidon z karabińczykiem o pojemności 400 ml. Pakowany w białe kartonowe opakowanie.;;;Stal nierdzewna;;L3;laser;1;50;20;65.0;65.0;185.0;karton;pudełko kartonowe;biały;;;srebrny;;0.16;0.14;70.0;70.0;200.0;;;;;;8.0;7.0;370.0;370.0;410.0;50;1200
R08319.04;Metalowy bidon;;18,90 zł;;Podróże i wypoczynek;Termosy i kubki izotermiczne;Wykonany ze stali nierdzewnej bidon o pojemności 600 ml. Wyposażony w wysuwaną słomkę dzięki której wygodnie się pije oraz pasek - zaczep. Pakowany w białe kartonowe opakowanie.;;;stal nierdzewna;;L3;laser;1;50;20;71.0;71.0;210.0;karton;pudełko kartonowe;biały;;;niebieski;;;;;;;;;;;;10.0;9.0;420.0;420.0;480.0;40;480
R08322.04;Kubek do kawy, niebieski;;7,90 zł;;Podróże i wypoczynek;Termosy i kubki izotermiczne;Modny kubek na dużą kawę. Wykonany z wysokiej jakości plastiku o dwóch grubych ściankach dla dobrego trzymania ciepła. Pokrywka z gwintem. Pojemność 450 ml. Pakowany w woreczek foliowy.;;;Plastik;;A3;tampodruk;4;30;30;94.0;175.0;94.0;folia;woreczek foliowy;bezbarwny;;;biały;niebieski;;;;;;;;;;;9.0;7.6;500.0;500.0;360.0;50;600
R08322.08;Kubek do kawy, czerwony;;7,90 zł;;Podróże i wypoczynek;Termosy i kubki izotermiczne;Modny kubek na dużą kawę. Wykonany z wysokiej jakości plastiku o dwóch grubych ściankach dla dobrego trzymania ciepła. Pokrywka z gwintem. Pojemność 450 ml. Pakowany w woreczek foliowy.;;;Plastik;;A3;tampodruk;4;30;30;94.0;175.0;94.0;folia;woreczek foliowy;bezbarwny;;;biały;czerwony;;;;;;;;;;;9.0;7.6;500.0;500.0;360.0;50;600
R08323.04;Kubek 450 ml biało-niebieski;NEW 2014;10,90 zł;;Podróże i wypoczynek;Termosy i kubki izotermiczne;Modny kubek na dużą kawę. Wykonany z wysokiej jakości plastiku o dwóch grubych ściankach dla dobrego trzymania ciepła. Pokrywka z gwintem. Dodatkowa opaska silikonowa ułatwiająca wygodne trzymanie kubka w dłoni. Pojemność 450 ml. Pakowany w woreczek foliowy.;;;plastik;;A3;tampodruk;4;30;30;94.0;175.0;94.0;folia;woreczek foliowy;bezbarwny;;;biały;niebieski;;;;;;;;;;;11.0;10.0;500.0;500.0;360.0;50;800
R08323.08;Kubek 450 ml biało-czerwony;NEW 2014;10,90 zł;;Podróże i wypoczynek;Termosy i kubki izotermiczne;Modny kubek na dużą kawę. Wykonany z wysokiej jakości plastiku o dwóch grubych ściankach dla dobrego trzymania ciepła. Pokrywka z gwintem. Dodatkowa opaska silikonowa ułatwiająca wygodne trzymanie kubka w dłoni. Pojemność 450 ml. Pakowany w woreczek foliowy.;;;plastik;;A3;tampodruk;4;30;30;94.0;175.0;94.0;folia;woreczek foliowy;bezbarwny;;;biały;czerwony;;;;;;;;;;;11.0;10.0;500.0;500.0;360.0;50;800
R08325.04;Kubek izotermiczny 350 ml, b/niebieski;EOY 2013;19,90 zł;;Podróże i wypoczynek;Termosy i kubki izotermiczne;Kubek izotermiczny o pojemności 350 ml. Wewnątrz kubka zastosowano stal 18/8 o podwyższonej jakości, na zewnątrz plastik. Pakowany w białe kartonowe opakowanie.;;;Stal nierdzewna;;A3;tampodruk;4;30;30;76.0;76.0;180.0;karton;pudełko kartonowe;biały;;;biały;niebieski;0.3;0.26;80.0;80.0;200.0;;;;;;15.0;13.0;425.0;425.0;400.0;50;
R08325.05;Kubek izotermiczny 350 ml, b/zielony;EOY 2013;19,90 zł;;Podróże i wypoczynek;Termosy i kubki izotermiczne;Kubek izotermiczny o pojemności 350 ml. Wewnątrz kubka zastosowano stal 18/8 o podwyższonej jakości, na zewnątrz plastik. Pakowany w białe kartonowe opakowanie.;;;stal nierdzewna;;A3;tampodruk;4;30;30;76.0;76.0;180.0;karton;pudełko kartonowe;biały;;;biały;zielony;0.3;0.26;80.0;80.0;200.0;;;;;;15.0;13.0;425.0;425.0;400.0;50;
R08325.08;Kubek izotermiczny 350 ml, b/czerwony;EOY 2013;19,90 zł;;Podróże i wypoczynek;Termosy i kubki izotermiczne;Kubek izotermiczny o pojemności 350 ml. Wewnątrz kubka zastosowano stal 18/8 o podwyższonej jakości, na zewnątrz plastik. Pakowany w białe kartonowe opakowanie.;;;stal nierdzewna;;A3;tampodruk;4;30;30;76.0;76.0;180.0;karton;pudełko kartonowe;biały;;;biały;czerwony;0.3;0.26;80.0;80.0;200.0;;;;;;15.0;13.0;425.0;425.0;400.0;50;
R08325.21;Kubek izotermiczny 350 ml, b/szary;EOY 2013;19,90 zł;;Podróże i wypoczynek;Termosy i kubki izotermiczne;Kubek izotermiczny o pojemności 350 ml. Wewnątrz kubka zastosowano stal 18/8 o podwyższonej jakości, na zewnątrz plastik. Pakowany w białe kartonowe opakowanie.;;;stal nierdzewna;;A3;tampodruk;4;30;30;76.0;76.0;180.0;karton;pudełko kartonowe;biały;;;biały;szary;0.3;0.26;80.0;80.0;200.0;;;;;;15.0;13.0;425.0;425.0;400.0;50;
R08326;Kubek izotermiczny 400 ml;NEW 2014;49,80 zł;;Podróże i wypoczynek;Termosy i kubki izotermiczne;Szczelny termos - kubek izotermiczny o pojemności 400 ml. Dwie ścianki wykonane ze stali nierdzewnej, wewnętrzna ze stali o podwyższonej jakości 18/8 i próżni pomiędzy nimi. Zapewnia bardzo dobrą izolację cieplną płynu. Pakowany w kartonowe opakowanie.;;;stal nierdzewna;;L3;laser;1;50;20;80.0;220.0;80.0;karton;pudełko kartonowe;biały;;;srebrny;czarny;;;;;;;;;;;;;;;;;
R08327.04;Kubek izotermiczny 400 ml biało-niebieski;NEW 2014;27,50 zł;;Podróże i wypoczynek;Termosy i kubki izotermiczne;Szczelny kubek izotermiczny o pojemności 400 ml. Dwie ścianki wykonane z plastiku. Wyposażony w ergonomiczny uchwyt. Pakowany w biały kartonik.;;;plastik;;A3;tampodruk;4;30;45;80.0;210.0;80.0;karton;pudełko kartonowe;biały;;;niebieski;biały;0.38;0.3;80.0;80.0;220.0;;;;;;9.64;7.6;430.0;430.0;240.0;25;600
R08327.05;Kubek izotermiczny 400 ml biało-zielony;NEW 2014;27,50 zł;;Podróże i wypoczynek;Termosy i kubki izotermiczne;Szczelny kubek izotermiczny o pojemności 400 ml. Dwie ścianki wykonane z plastiku. Wyposażony w ergonomiczny uchwyt. Pakowany w biały kartonik.;;;plastik;;A3;tampodruk;4;30;45;80.0;210.0;80.0;karton;pudełko kartonowe;biały;;;zielony;biały;0.38;0.3;80.0;80.0;220.0;;;;;;9.64;7.6;430.0;430.0;240.0;25;600
R08329;Kubek izotermiczny 380 ml;NEW 2014;17,80 zł;;Podróże i wypoczynek;Termosy i kubki izotermiczne;Kubek izotermiczny ze stali nierdzewnej z poręcznym uchwytem. Pojemność 380 ml. Wewnętrzna ścianka wykonana jest  z ulepszonej stali 18/8. Pakowany w opakowanie kartonowe.;;;stal nierdzewna;;L3;laser;4;50;20;130.0;175.0;85.0;karton;pudełko kartonowe;biały;;;srebrny;;;;;;;;;;;;;;;;;;
R08330.04;Składany bidon, niebieski;;3,35 zł;;Podróże i wypoczynek;Termosy i kubki izotermiczne;Wykonany z elastycznego tworzywa składany bidon na wodę o pojemności 450 ml. Dodatkowo wyposażony w karabińczyk umożliwiający przytroczenie go do paska. Zastosowane tworzywo jest bezpieczne dla zdrowia. Pakowany w woreczek foliowy. Logo naniesiemy na bidon techniką tampondruku.;;;tworzywo sztuczne;;A3;tampodruk;4;40;30;120.0;270.0;32.0;folia;woreczek foliowy;bezbarwny;;;niebieski;;;;;;;;;;;;7.5;6.5;570.0;310.0;440.0;200;4000
R08330.08;Składany bidon, czerwony;;3,35 zł;;Podróże i wypoczynek;Termosy i kubki izotermiczne;Wykonany z elastycznego tworzywa składany bidon na wodę o pojemności 450 ml. Dodatkowo wyposażony w karabińczyk umożliwiający przytroczenie go do paska. Zastosowane tworzywo jest bezpieczne dla zdrowia. Pakowany w woreczek foliowy. Logo naniesiemy na bidon techniką tampondruku.;;;tworzywo sztuczne;;A3;tampodruk;4;40;30;120.0;270.0;32.0;folia;woreczek foliowy;bezbarwny;;;czerwony;;;;;;;;;;;;7.5;6.5;570.0;310.0;440.0;200;4000
R08331.03;Bidon 480 ml, żółty;EOY 2013;3,35 zł;;Podróże i wypoczynek;Termosy i kubki izotermiczne;Wykonany z elastycznego tworzywa składany bidon na wodę o pojemności 480 ml. Dodatkowo wyposażony w karabińczyk umożliwiający przytroczenie go do paska. Zastosowane tworzywo jest bezpieczne dla zdrowia. Pakowany w woreczek foliowy.;;;tworzywo elastyczne;;A3;tampodruk;1;50;40;30.0;120.0;265.0;folia;woreczek foliowy;bezbarwny;;;żółty;;;;;;;;;;;;11.2;10.2;640.0;370.0;390.0;400;
R08331.05;Bidon 480 ml, zielony;EOY 2013;3,35 zł;;Podróże i wypoczynek;Termosy i kubki izotermiczne;Wykonany z elastycznego tworzywa składany bidon na wodę o pojemności 480 ml. Dodatkowo wyposażony w karabińczyk umożliwiający przytroczenie go do paska. Zastosowane tworzywo jest bezpieczne dla zdrowia. Pakowany w woreczek foliowy.;;;tworzywo elastyczne;;A3;tampodruk;1;50;40;30.0;120.0;265.0;folia;woreczek foliowy;bezbarwny;;;zielony;;;;;;;;;;;;11.2;10.2;640.0;370.0;390.0;400;
R08331.06;Bidon 480 ml, biały;EOY 2013;3,35 zł;;Podróże i wypoczynek;Termosy i kubki izotermiczne;Wykonany z elastycznego tworzywa składany bidon na wodę o pojemności 480 ml. Dodatkowo wyposażony w karabińczyk umożliwiający przytroczenie go do paska. Zastosowane tworzywo jest bezpieczne dla zdrowia. Pakowany w woreczek foliowy.;;;tworzywo elastyczne;;A3;tampodruk;1;50;40;30.0;120.0;265.0;folia;woreczek foliowy;bezbarwny;;;biały;;;;;;;;;;;;11.2;10.2;640.0;370.0;390.0;400;
