;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cennik obowiązuje od dnia 7 lutego 2014 r.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;Opakowanie jednostkowe;;;;;Karton wewnętrzny;;;;;Karton duży;;;;;;
Kod towaru;Nazwa artykułu;NOWOŚĆ;Cena netto katalogowa;;Kategoria;Podkategoria;Opis;Opis cech;Opis dodatkowy;Podstawowy materiał wykonania;Dodatkowy materiał wykonania;Kategoria zdobienia;Sugerowana technika zdobienia;Liczba kolorów;Długość obszaru;Szerokość obszaru;Długość produktu;Szerokość produktu;Wysokość produktu;Materiał wykonania opakowania;Rodzaj opakowania jedn.;Kolor opakowania jedn.;Baterie;Cechy specyficzne;Kolor podstawowy;Kolor dodatkowy;Waga brutto;Waga netto;Długość;Szerokość;Wysokość;Waga brutto;Waga netto;Długość;Szerokość;Wysokość;Waga brutto;Waga netto;Długość;Szerokość;Wysokość;Ilość w jednostkach podstawowych;Ilość na palecie wysyłkowej
R00332.30;Milord pióro kulkowe czarne błysk;;34,50 zł;;Piśmiennicze;Pióra kulkowe;Eleganckie błyszczące czarne metalowe pióro kulkowe. Wkład w kolorze niebieskim. Srebrne wykończenia. Pakowane pojedynczo w woreczek foliowy.;;? 12;metal;;A3;tampodruk;4;40;7;135.0;12.0;12.0;folia;woreczek foliowy;bezbarwny;;błyszczący, srebrne wykończenia;czarny;;;;;;;0.56;0.54;160.0;220.0;20.0;15.0;14.0;350.0;330.0;240.0;360;4320
R00333.10;Milord długopis srebrno(mat)-czarny(błysk);;31,50 zł;;Piśmiennicze;Długopisy;Elegancki błyszczący czarny metalowy długopis. Wkład w kolorze czarnym. Pakowany pojedynczo w woreczek foliowy.;;? 12;metal;;L1;laser;1;40;7;135.0;12.0;12.0;folia;woreczek foliowy;bezbarwny;;błyszczący, srebrne wykończenia;czarny;;;;;;;0.56;0.54;160.0;220.0;20.0;15.0;14.0;350.0;330.0;240.0;360;4320
R00333.20;Milord pióro srebrno(mat)-czarne(błysk);;34,50 zł;;Piśmiennicze;Pióra wieczne;Eleganckie błyszczące czarne metalowe pióro wieczne. Wyposażone w tłoczek do atramentu (możliwość użycia również naboju). Pakowane pojedynczo w woreczek foliowy.;;? 12;metal;;L1;laser;1;40;7;135.0;12.0;12.0;folia;woreczek foliowy;bezbarwny;;błyszczący, srebrne wykończenia;czarny;;;;;;;0.65;0.54;160.0;220.0;20.0;15.0;14.0;350.0;330.0;240.0;360;4320
R00333.30;Milord pióro kulkowe srebrno(mat)-czarne(błysk);;34,50 zł;;Piśmiennicze;Pióra kulkowe;Eleganckie błyszczące metalowe pióro kulkowe w kolorze czarnym. Wkład w kolorze czarnym. Pakowane pojedynczo w woreczek foliowy.;;? 12;metal;;L1;laser;1;40;7;135.0;12.0;12.0;folia;woreczek foliowy;bezbarwny;;błyszczący, srebrne wykończenia;czarny;;;;;;;0.56;0.54;160.0;220.0;20.0;15.0;14.0;350.0;330.0;240.0;360;4320
R00341.10;Slim długopis srebrny mat;;3,50 zł;;Piśmiennicze;Długopisy;Ceniony niskobudżetowy matowy srebrny długopis metalowy z błyszczącymi wykończeniami. Wkład w kolorze niebieskim. Pakowany  w woreczek foliowy. Logo naniesiemy pod skuwką techniką grawerki laserowej. ;;? 8;metal;;L1;laser;1;55;4;135.0;8.0;8.0;folia;woreczek foliowy;bezbarwny;;matowy, srebrne wykończenia;srebrny;;0.0;0.0;135.0;15.0;11.0;1.0;1.0;160.0;120.0;90.0;14.0;13.0;470.0;270.0;190.0;1000;16000
R00371.10;Rocket długopis srebrny mat;;4,98 zł;;Piśmiennicze;Długopisy;Długopis w srebrnym kolorze wykonany z metalu. Wkład w kolorze czarnym. Pakowany w woreczek foliowy. Logo naniesiemy pod skuwką techniką grawerki laserowej. ;;? 8;metal;;L1;laser;1;50;5;130.0;8.0;8.0;folia;woreczek foliowy;bezbarwny;;matowy, srebrne wykończenia;srebrny;;;;;;;2.2;2.1;160.0;160.0;80.0;22.0;21.0;470.0;360.0;160.0;1000;64000
R00403.10;Długopis Porto;;2,95 zł;;Piśmiennicze;Długopisy;Metalowy błyszczący długopis ze stali nierdzewnej z chromowanymi wykończeniami. Wyposażony we wkład w kolorze niebieskim. Pakowany pojedynczo w woreczek foliowy. Logo naniesiemy na długopis techniką grawerki laserowej.;;;metal;;L1;laser;1;40;4;134.0;7.0;7.0;folia;woreczek foliowy;bezbarwny;;;czarny;;;;;;;1.15;1.05;160.0;160.0;70.0;11.5;10.5;350.0;320.0;190.0;1000;45000
R00404.10;Długopis Lisboa;;2,95 zł;;Piśmiennicze;Długopisy;Metalowy błyszczący długopis ze stali nierdzewnej ze srebrnymi wykończeniami. Wyposażony we wkład w kolorze niebieskim. Pakowany pojedynczo w woreczek foliowy. Logo naniesiemy na długopis techniką tampodruku.;;;metal;;A3;tampodruk;1;40;4;134.0;7.0;7.0;folia;woreczek foliowy;bezbarwny;;;granatowy;;;;;;;1.15;1.05;160.0;160.0;70.0;11.5;10.5;350.0;320.0;190.0;1000;45000
R00417.10;Długopis Primavera;;10,48 zł;;Piśmiennicze;Długopisy;Zgrabny czarny metalowy długopis ze stali nierdzewnej ze srebrnymi wykończeniami. Wyposażony we wkład w kolorze niebieskim. Pakowany pojedynczo w woreczek foliowy. Logo naniesiemy na długopis techniką grawerki laserowej;;;metal;;L1;laser;1;40;6;135.0;10.0;10.0;folia;woreczek foliowy;bezbarwny;;;czarny;;;;;;;1.2;1.1;160.0;160.0;70.0;12.0;11.0;350.0;320.0;190.0;500;45000
R00417.30;Pióro kulkowe Primavera;;10,98 zł;;Piśmiennicze;Pióra kulkowe;Czarne metalowe pióro kulkowe ze stali nierdzewnej ze srebrnymi wykończeniami. Wyposażone w wkład w kolorze niebieskim. Pakowane pojedynczo w woreczek foliowy. Logo naniesiemy na pióro techniką grawerki laserowej.;;;metal;;L1;laser;1;40;6;135.0;10.0;10.0;folia;woreczek foliowy;bezbarwny;;;czarny;;;;;;;1.2;1.1;160.0;160.0;70.0;12.0;11.0;350.0;320.0;190.0;500;24000
R00420.10;Zirkon długopis;;13,90 zł;;Piśmiennicze;Długopisy;Bardzo elegancki, subtelny metalowy długopis  przyozdobiony cyrkoniami. Wkład w kolorze niebieskim. Wytworny prezent dla Twojego klienta. Logo naniesiemy na długopis techniką grawerki laserowej.;;? 10;metal;;L1;laser;1;30;6;140.0;10.0;10.0;folia;woreczek foliowy;bezbarwny;;;czarny;srebrny;0.02;0.02;135.0;15.0;18.0;1.36;1.0;160.0;160.0;50.0;13.6;12.6;370.0;260.0;190.0;500;45000
R00421.10;Długopis Lima;;13,50 zł;;Piśmiennicze;Długopisy;Elegancki metalowy długopis ze stali nierdzewnej z chromowanymi błyszczącymi wykończeniami. Wyposażony w wkład w kolorze niebieskim. Logo naniesiemy na korpus techniką grawerki laserowej.;niebieski wkład;;metal;;L1;laser;1;35;6;135.0;12.0;12.0;folia;woreczek foliowy;bezbarwny;;;niebieski;srebrny;;;;;;1.5;1.4;160.0;120.0;90.0;15.0;14.0;470.0;270.0;190.0;500;30000
R00421.30;Pióro kulkowe Lima;;14,90 zł;;Piśmiennicze;Pióra kulkowe;Eleganckie metalowe pióro kulkowe ze stali nierdzewnej z chromowanymi błyszczącymi wykończeniami. Wyposażone w wkład w kolorze niebieskim.Logo naniesiemy na korpus techniką grawerki laserowej.;niebieski wkład;;metal;;L1;laser;1;35;6;135.0;12.0;12.0;folia;woreczek foliowy;bezbarwny;;;niebieski;srebrny;;;;;;1.4;1.3;160.0;120.0;90.0;14.0;13.0;470.0;270.0;190.0;500;30000
R00422.10;Długopis Bogota;;13,50 zł;;Piśmiennicze;Długopisy;Gustowny metalowy długopis ze stali nierdzewnej z chromowanymi błyszczącymi wykończeniami. Wyposażony w wkład w kolorze niebieskim. Logo naniesiemy na korpus techniką grawerki laserowej.;niebieski wkład;;metal;;L1;laser;1;35;6;135.0;12.0;12.0;folia;woreczek foliowy;bezbarwny;;;czerwony;srebrny;;;;;;1.5;1.4;160.0;120.0;90.0;15.0;14.0;470.0;270.0;190.0;500;30000
R00422.30;Pióro kulkowe Bogota;;14,90 zł;;Piśmiennicze;Pióra kulkowe;Gustowne metalowe pióro kulkowe w kolorze ciemnoczerwonym. Wykonane ze stali nierdzewnej z chromowanymi błyszczącymi wykończeniami. Wyposażone w wkład w kolorze niebieskim.Logo naniesiemy na korpus techniką grawerki laserowej.;niebieski wkład;;metal;;L1;laser;1;35;6;135.0;12.0;12.0;folia;woreczek foliowy;bezbarwny;;;czerwony;srebrny;;;;;;1.4;1.3;160.0;120.0;90.0;14.0;13.0;470.0;270.0;190.0;500;30000
R00423.10;Długopis Montevideo;;13,50 zł;;Piśmiennicze;Długopisy;Atrakcyjny czarny metalowy długopis ze stali nierdzewnej z chromowanymi błyszczącymi wykończeniami. Wyposażony w wkład w kolorze niebieskim. Logo naniesiemy na korpus techniką grawerki laserowej.;niebieski wkład;;metal;;L1;laser;1;35;6;135.0;12.0;12.0;folia;woreczek foliowy;bezbarwny;;;czarny;srebrny;0.03;0.02;135.0;12.0;12.0;1.5;1.4;160.0;120.0;90.0;15.0;14.0;470.0;270.0;190.0;500;30000
R00423.30;Pióro kulkowe Montevideo;;14,90 zł;;Piśmiennicze;Pióra kulkowe;Atrakcyjne czarne metalowe pióro kulkowe ze stali nierdzewnej z chromowanymi błyszczącymi wykończeniami. Wyposażone w wkład w kolorze niebieskim.Logo naniesiemy na korpus techniką grawerki laserowej.;niebieski wkład;;metal;;L1;laser;1;35;6;135.0;12.0;12.0;folia;woreczek foliowy;bezbarwny;;;czarny;srebrny;;;;;;1.4;1.3;160.0;120.0;90.0;14.0;13.0;470.0;270.0;190.0;500;30000
